taxon_name,taxon_name_acc,species_name_acc,list,comments,taxon_type,taxon_acc_type,source_note,taxon_name_with_author,taxonomic_source,taxonomic_status,taxonomic_reference_id,num_taxonomic_sources,collections_only,reference_only,,,,,,,,,,,,
Malus mazam,Malus 'Mazam',NA,desiderata,NA,cultivar,cultivar,no_taxon,NA,NA,NA,NA,NA,N,N,,,,,,,,,,,,
Malus molazam,Malus 'Molazam',NA,desiderata,NA,cultivar,cultivar,no_taxon,NA,NA,NA,NA,NA,N,N,,,,,,,,,,,,
Malus mollie ann,Malus 'Mollie Ann',NA,desiderata,NA,cultivar,cultivar,no_taxon,NA,NA,NA,NA,NA,N,N,,,,,,,,,,,,
Malus nipissing,Malus 'Nipissing',NA,desiderata,NA,cultivar,cultivar,no_taxon,NA,NA,NA,NA,NA,Y,N,,,,,,,,,,,,
Malus orange,Malus 'Orange',NA,desiderata,NA,cultivar,cultivar,no_taxon,NA,NA,NA,NA,NA,Y,N,,,,,,,,,,,,
Malus orange crush,Malus 'Orange Crush',NA,desiderata,NA,cultivar,cultivar,no_taxon,NA,NA,NA,NA,NA,N,N,,,,,,,,,,,,
Malus ormiston roy,Malus 'Ormiston Roy',NA,desiderata,NA,cultivar,cultivar,no_taxon,NA,NA,NA,NA,NA,Y,N,,,,,,,,,,,,
Malus parrsi,Malus 'Parrsi',NA,desiderata,NA,cultivar,cultivar,no_taxon,NA,NA,NA,NA,NA,Y,N,,,,,,,,,,,,
Malus pink satin,Malus 'Pink Satin',NA,desiderata,NA,cultivar,cultivar,no_taxon,NA,NA,NA,NA,NA,Y,N,,,,,,,,,,,,
Malus pink spires,Malus 'Pink Spires',NA,desiderata,NA,cultivar,cultivar,no_taxon,NA,NA,NA,NA,NA,Y,N,,,,,,,,,,,,
Malus plena,Malus spectabilis 'Plena',NA,desiderata,NA,cultivar,cultivar,taxon_copy,NA,NA,NA,NA,NA,Y,N,,,,,,,,,,,,
Malus prairie maid,Malus 'Prairie Maid',NA,desiderata,NA,cultivar,cultivar,no_taxon,NA,NA,NA,NA,NA,Y,N,,,,,,,,,,,,
Malus prairie ross,Malus 'Prairie Ross',NA,desiderata,NA,cultivar,cultivar,no_taxon,NA,NA,NA,NA,NA,N,N,,,,,,,,,,,,
Malus prairifire,Malus 'Prairifire',NA,desiderata,NA,cultivar,cultivar,no_taxon,NA,NA,NA,NA,NA,N,N,,,,,,,,,,,,
Malus pretty marjorie,Malus 'Pretty Marjorie',NA,desiderata,NA,cultivar,cultivar,no_taxon,NA,NA,NA,NA,NA,Y,N,,,,,,,,,,,,
Malus professor sprenger,Malus 'Professor Sprenger',NA,desiderata,NA,cultivar,cultivar,no_taxon,NA,NA,NA,NA,NA,N,N,,,,,,,,,,,,
Malus profusion,Malus 'Profusion',NA,desiderata,NA,cultivar,cultivar,no_taxon,NA,NA,NA,NA,NA,Y,N,,,,,,,,,,,,
Malus pumpkin pie,Malus 'Pumpkin Pie',NA,desiderata,NA,cultivar,cultivar,no_taxon,NA,NA,NA,NA,NA,N,N,,,,,,,,,,,,
Malus purple prince,Malus 'Purple Prince',NA,desiderata,NA,cultivar,cultivar,no_taxon,NA,NA,NA,NA,NA,N,N,,,,,,,,,,,,
Malus ralph shay,Malus 'Ralph Shay',NA,desiderata,NA,cultivar,cultivar,no_taxon,NA,NA,NA,NA,NA,Y,N,,,,,,,,,,,,
Malus red barron,Malus 'Red Barron',NA,desiderata,NA,cultivar,cultivar,no_taxon,NA,NA,NA,NA,NA,Y,N,,,,,,,,,,,,
Malus red jade,Malus 'Red Jade',NA,desiderata,NA,cultivar,cultivar,no_taxon,NA,NA,NA,NA,NA,Y,N,,,,,,,,,,,,
Malus red jewel,Malus 'Jewelcole',NA,desiderata,"Updated 2020-08-04 per ML's notes/Nomenclature Review. In the Nomenclature Table, M. 'Jewelcole' RED JEWEL (as the trademark) is accepted, therefore, M. 'Jewelcole' is accepted. ",cultivar,cultivar,no_taxon,NA,NA,NA,NA,NA,Y,N,,,,,,,,,,,,
Malus red peacock,Malus 'Red Peacock',NA,desiderata,NA,cultivar,cultivar,no_taxon,NA,NA,NA,NA,NA,Y,N,,,,,,,,,,,,
Malus red river,Malus 'Red River',NA,desiderata,NA,cultivar,cultivar,no_taxon,NA,NA,NA,NA,NA,N,N,,,,,,,,,,,,
Malus red splendor,Malus 'Red Splendor',NA,desiderata,NA,cultivar,cultivar,no_taxon,NA,NA,NA,NA,NA,Y,N,,,,,,,,,,,,
Malus red swan,Malus 'Red Swan',NA,desiderata,NA,cultivar,cultivar,no_taxon,NA,NA,NA,NA,NA,N,N,,,,,,,,,,,,
Malus redbird,Malus 'Redbird',NA,desiderata,NA,cultivar,cultivar,no_taxon,NA,NA,NA,NA,NA,Y,N,,,,,,,,,,,,
Malus redford,Malus 'Redford',NA,desiderata,NA,cultivar,cultivar,no_taxon,NA,NA,NA,NA,NA,Y,N,,,,,,,,,,,,
Malus rejzam,Malus 'Rejzam',NA,desiderata,NA,cultivar,cultivar,no_taxon,NA,NA,NA,NA,NA,Y,N,,,,,,,,,,,,
Malus riversii,Malus spectabilis 'Riversii',NA,desiderata,NA,cultivar,cultivar,taxon_copy,NA,NA,NA,NA,NA,N,N,,,,,,,,,,,,
Malus robinson,Malus 'Robinson',NA,desiderata,NA,cultivar,cultivar,no_taxon,NA,NA,NA,NA,NA,Y,N,,,,,,,,,,,,
Malus ross's double red,Malus 'Ross's Double Red',NA,desiderata,NA,cultivar,cultivar,no_taxon,NA,NA,NA,NA,NA,N,N,,,,,,,,,,,,
Malus royalty,Malus 'Royalty',NA,desiderata,NA,cultivar,cultivar,no_taxon,NA,NA,NA,NA,NA,Y,N,,,,,,,,,,,,
Malus ruby luster,Malus 'Ruby Luster',NA,desiderata,NA,cultivar,cultivar,no_taxon,NA,NA,NA,NA,NA,Y,N,,,,,,,,,,,,
Malus sarah,Malus 'Sarah',NA,desiderata,NA,cultivar,cultivar,no_taxon,NA,NA,NA,NA,NA,N,N,,,,,,,,,,,,
Malus satin cloud,Malus 'Satin Cloud',NA,desiderata,NA,cultivar,cultivar,no_taxon,NA,NA,NA,NA,NA,N,N,,,,,,,,,,,,
Malus scbrazam,Malus 'Scbrazam',NA,desiderata,NA,cultivar,cultivar,no_taxon,NA,NA,NA,NA,NA,Y,N,,,,,,,,,,,,
Malus schmidtcutleaf,Malus transitoria 'Schmidtcutleaf',NA,desiderata,Would need to examine fruit size/shape and leaf morphology to assign to a lower taxon,cultivar,cultivar,taxon_copy,NA,NA,NA,NA,NA,Y,N,,,,,,,,,,,,
Malus select a,Malus sargentii 'Select A',NA,desiderata,See notes on main sp.,cultivar,cultivar,taxon_copy,NA,NA,NA,NA,NA,Y,N,,,,,,,,,,,,
Malus selkirk,Malus 'Selkirk',NA,desiderata,NA,cultivar,cultivar,no_taxon,NA,NA,NA,NA,NA,Y,N,,,,,,,,,,,,
Malus sentinel,Malus 'Sentinel',NA,desiderata,NA,cultivar,cultivar,no_taxon,NA,NA,NA,NA,NA,Y,N,,,,,,,,,,,,
Malus serenade,Malus 'Serenade',NA,desiderata,NA,cultivar,cultivar,no_taxon,NA,NA,NA,NA,NA,N,N,,,,,,,,,,,,
Malus showboat,Malus 'Showboat',NA,desiderata,NA,cultivar,cultivar,no_taxon,NA,NA,NA,NA,NA,N,N,,,,,,,,,,,,
Malus silver moon,Malus 'Silver Moon',NA,desiderata,NA,cultivar,cultivar,no_taxon,NA,NA,NA,NA,NA,Y,N,,,,,,,,,,,,
Malus sinai fire,Malus 'Sinai Fire',NA,desiderata,NA,cultivar,cultivar,no_taxon,NA,NA,NA,NA,NA,Y,N,,,,,,,,,,,,
Malus snowdrift,Malus 'Snowdrift',NA,desiderata,NA,cultivar,cultivar,no_taxon,NA,NA,NA,NA,NA,Y,N,,,,,,,,,,,,
Malus spring boat,Malus 'Spring Boat',NA,desiderata,NA,cultivar,cultivar,no_taxon,NA,NA,NA,NA,NA,N,N,,,,,,,,,,,,
Malus spring snow,Malus 'Spring Snow',NA,desiderata,NA,cultivar,cultivar,no_taxon,NA,NA,NA,NA,NA,Y,N,,,,,,,,,,,,
Malus strawberry parfait,Malus 'Strawberry Parfait',NA,desiderata,NA,cultivar,cultivar,no_taxon,NA,NA,NA,NA,NA,N,N,,,,,,,,,,,,
Malus sutyzam,Malus 'Sutyzam',NA,desiderata,NA,cultivar,cultivar,no_taxon,NA,NA,NA,NA,NA,N,N,,,,,,,,,,,,
Malus thunderchild,Malus 'Thunderchild',NA,desiderata,NA,cultivar,cultivar,no_taxon,NA,NA,NA,NA,NA,Y,N,,,,,,,,,,,,
Malus tina,Malus 'Tina',NA,desiderata,NA,cultivar,cultivar,no_taxon,NA,NA,NA,NA,NA,Y,N,,,,,,,,,,,,
Malus velvetcole,Malus 'Velvetcole',NA,desiderata,NA,cultivar,cultivar,no_taxon,NA,NA,NA,NA,NA,Y,N,,,,,,,,,,,,
Malus weepcanzam,Malus 'Weepcanzam',NA,desiderata,NA,cultivar,cultivar,no_taxon,NA,NA,NA,NA,NA,Y,N,,,,,,,,,,,,
Malus white angel,Malus 'White Angel',NA,desiderata,NA,cultivar,cultivar,no_taxon,NA,NA,NA,NA,NA,Y,N,,,,,,,,,,,,
Malus white cascade,Malus 'Cascole',NA,desiderata,"Updated 2020-08-04, per ML's notes/Nomenclature Review. Note: WHITE CASCADE is a trademark - Nomenclature-Master for Malus, with 'White Cascade' synonymized under 'Cascole'. ",cultivar,cultivar,no_taxon,NA,NA,NA,NA,NA,N,N,,,,,,,,,,,,
Malus winter gold,Malus 'Winter Gold',NA,desiderata,NA,cultivar,cultivar,no_taxon,NA,NA,NA,NA,NA,N,N,,,,,,,,,,,,
Malus wooster,Malus x zumi 'Wooster',NA,desiderata,NA,cultivar,cultivar,taxon_copy,NA,NA,NA,NA,NA,Y,N,,,,,,,,,,,,
Malus woven gold,Malus 'Woven Gold',NA,desiderata,NA,cultivar,cultivar,no_taxon,NA,NA,NA,NA,NA,Y,N,,,,,,,,,,,,
Malus yellow jewel,Malus 'Yellow Jewel',NA,desiderata,NA,cultivar,cultivar,no_taxon,NA,NA,NA,NA,NA,Y,N,,,,,,,,,,,,
Quercus argenteovariegata,Quercus robur 'Argenteovariegata',NA,desiderata,NA,cultivar,cultivar,taxon_copy,NA,NA,NA,NA,NA,Y,N,,,,,,,,,,,,
Quercus carl ferris miller,Quercus dentata 'Carl Ferris Miller',NA,desiderata,NA,cultivar,cultivar,taxon_copy,NA,NA,NA,NA,NA,Y,N,,,,,,,,,,,,
Quercus chimney fire,Quercus 'Chimney Fire',NA,desiderata,NA,cultivar,cultivar,no_taxon,NA,NA,NA,NA,NA,Y,N,,,,,,,,,,,,
Quercus clemons,Quercus x macdaniellii 'Clemons',NA,desiderata,robur x macrocarpa,cultivar,cultivar,taxon_copy,NA,NA,NA,NA,NA,Y,N,,,,,,,,,,,,
Quercus crimschmidt,Quercus x bimundorum 'Crimschmidt',NA,desiderata,[robur x alba],cultivar,cultivar,taxon_copy,NA,NA,NA,NA,NA,N,N,,,,,,,,,,,,
Quercus eckman,Quercus macrocarpa 'Eckman',NA,desiderata,NA,cultivar,cultivar,taxon_copy,NA,NA,NA,NA,NA,Y,N,,,,,,,,,,,,
Quercus firecracker,Quercus 'Firecracker',NA,desiderata,NA,cultivar,cultivar,no_taxon,NA,NA,NA,NA,NA,N,N,,,,,,,,,,,,
Quercus firewater,Quercus 'Firewater',NA,desiderata,NA,cultivar,cultivar,no_taxon,NA,NA,NA,NA,NA,N,N,,,,,,,,,,,,
Quercus jfs-kw1qx,Quercus x bimundorum 'JFS-KW1QX',NA,desiderata,[robur x alba],cultivar,cultivar,taxon_copy,NA,NA,NA,NA,NA,Y,N,,,,,,,,,,,,
Quercus k.b. crystal,Quercus 'K.B. Crystal',NA,desiderata,"Purported Q. bicolor x Q. muehlenbergii which Kris Bachtell found on the Crystal Falls Golf Course (he's the KB, that's the Crystal). I believe when Andrew sequenced this it fell in with Q. bicolor.",cultivar,cultivar,no_taxon,NA,NA,NA,NA,NA,Y,N,,,,,,,,,,,,
Quercus lippert,Quercus macrocarpa 'Lippert',NA,desiderata,NA,cultivar,cultivar,taxon_copy,NA,NA,NA,NA,NA,Y,N,,,,,,,,,,,,
Quercus long,Quercus x warei 'Long',NA,desiderata,robur 'Fastigiata' x bicolor,cultivar,cultivar,taxon_copy,NA,NA,NA,NA,NA,N,N,,,,,,,,,,,,
Quercus midwest,Quercus x bimundorum 'Midwest',NA,desiderata,[robur x alba],cultivar,cultivar,taxon_copy,NA,NA,NA,NA,NA,Y,N,,,,,,,,,,,,
Quercus nadler,Quercus x warei 'Nadler',NA,desiderata,NA,cultivar,cultivar,taxon_copy,NA,NA,NA,NA,NA,N,N,,,,,,,,,,,,
Quercus new madrid,Quercus 'New Madrid',NA,desiderata,I believe this is an F2 of texana with some palustris,cultivar,cultivar,no_taxon,NA,NA,NA,NA,NA,N,N,,,,,,,,,,,,
Quercus rough rider,Quercus macrocarpa 'Rough Rider',NA,desiderata,NA,cultivar,cultivar,taxon_copy,NA,NA,NA,NA,NA,N,N,,,,,,,,,,,,
Quercus schrefeldii,Quercus rubra 'Schrefeldii',NA,desiderata,NA,cultivar,cultivar,taxon_copy,NA,NA,NA,NA,NA,Y,N,,,,,,,,,,,,
Quercus skymaster,Quercus robur 'Skymaster',NA,desiderata,NA,cultivar,cultivar,taxon_copy,NA,NA,NA,NA,NA,Y,N,,,,,,,,,,,,
Quercus sovereign,Quercus palustris 'Sovereign',NA,desiderata,NA,cultivar,cultivar,taxon_copy,NA,NA,NA,NA,NA,Y,N,,,,,,,,,,,,
Quercus taco,Quercus x bebbiana 'Taco',NA,desiderata,NA,cultivar,cultivar,taxon_copy,NA,NA,NA,NA,NA,N,N,,,,,,,,,,,,
Tilia blechiana,Tilia 'Blechiana',NA,desiderata,NA,cultivar,cultivar,no_taxon,NA,NA,NA,NA,NA,N,N,,,,,,,,,,,,
Tilia boulevard,Tilia americana 'Boulevard',NA,desiderata,I need to see the leaves to determine variety<c9> probably americana,cultivar,cultivar,taxon_copy,NA,NA,NA,NA,NA,Y,N,,,,,,,,,,,,
Tilia continental appeal,Tilia americana var. heterophylla 'Continental Appeal',NA,desiderata,NA,cultivar,cultivar,taxon_copy,NA,NA,NA,NA,NA,N,N,,,,,,,,,,,,
Tilia corzam,Tilia cordata 'Corzam',NA,desiderata,I suspect most of these cvs. are subsp. cordata but would need to investigate to be sure,cultivar,cultivar,taxon_copy,NA,NA,NA,NA,NA,Y,N,,,,,,,,,,,,
Tilia dentata,Tilia americana 'Dentata',NA,desiderata,I need to see the leaves to determine variety<c9> probably americana,cultivar,cultivar,taxon_copy,NA,NA,NA,NA,NA,Y,N,,,,,,,,,,,,
Tilia girard's pendula nana,Tilia cordata 'Girard's Pendula Nana',NA,desiderata,I suspect most of these cvs. are subsp. cordata but would need to investigate to be sure,cultivar,cultivar,taxon_copy,NA,NA,NA,NA,NA,Y,N,,,,,,,,,,,,
