PlantNumber,Taxon,Vernacular,Trademark,ProvenanceType,DonorInstitute,CountryName,PrincipalCollector,LocationSummary,BgLocation,GardenSubarea,GardenGrid,GardenSubGrid,CommemorationText
362-96*7,Quercus marilandica,Blackjack Oak,,w,The Morton Arboretum,United States of America,"Sternberg, G","United States of America, Missouri, Phelps",Quercus,north section,M-102,11-70,
210-91*1,Quercus stellata,Post Oak,,w,Morton Arb. 1991 Iowa-Nebraska Seed Expedition,United States of America,,"United States of America, Iowa, Lee, in the Donnellson Unit of Shimek State Forest",Midwest,,M-68,06-72,
49-2002*1,Quercus georgiana,Georgia Oak,,w,Starhill Forest Arboretum,United States of America,?,"United States of America, Georgia, DeKalb, on Stone Mountain",Quercus,north section,L-99,15-43,
606-2000*2,Quercus montana,Chestnut Oak,,w,Midwest Plant Collecting Collaborative (MWPCC) 2000 southeast United States,United States of America,,"United States of America, Virginia, Franklin, on Cahas Mt.",Quercus,south section,F-100,94-25,
1186-2004*1,Quercus palustris,Pin Oak,,w,Midwest Plant Collecting Collaborative (MWPCC) 2004 Ozark Expedition,United States of America,,"United States of America, Missouri, Franklin, in Shaw Nature Reserve",Quercus,south section,L-93,07-92,
471-42*1,Quercus jackiana,Jack's Oak,,g,The Morton Arboretum,,,,Quercus,north section,L-101,50-45,
843-79*1,Quercus muehlenbergii,Chinkapin Oak,,g,"Possibility Place Nursery, Inc.",United States of America,?,"United States of America, Illinois, Kankakee, from Kankakee River State Park",Upper Joy Path,east side,HH-26,10-16,
2385-26*1,Quercus alba,White Oak,,u,,United States of America,?,United States of America,South Forestry Plot,south side,K-82,22-96,
206-40*1,Quercus palustris,Pin Oak,,g,H. Kohankie & Son,,,,Centennial Grove,,AZ-58,78-88,
513-25*1,Quercus bicolor,Swamp White Oak,,g,Arnold Arboretum of Harvard University,,,,Quercus,south section,H-102,80-90,
330-2018*1,Quercus macdanielii 'Clemons',Macdaniel's Oak,HERITAGE,g,Hinsdale Nurseries Inc.,,,,Education Support Building,,MM-31,01-36,
333-94*6,Quercus mongolica,Mongolian Oak,,w,North America-China Plant Exploration Consortium (NACPEC) 1994 Beijing Chin,China (PRC),,"China (PRC), Beijing Shi, Miyun, at Yong Xiu Gou (Valley with Beautiful Clouds), Wuling Shan Preserve",China,central section,AA-67,66-15,
1164-22*11,Quercus palustris,Pin Oak,,g,D. Hill Nursery Co.,,,,North Forestry Plot,south side,S-82,56-82,
1006-58*1,Quercus aliena var. acutiserrata,Oriental White Oak,,g,Holden Arboretum,,,,Quercus,north section,J-101,06-72,
606-2000*4,Quercus montana,Chestnut Oak,,w,Midwest Plant Collecting Collaborative (MWPCC) 2000 southeast United States,United States of America,,"United States of America, Virginia, Franklin, on Cahas Mt.",Quercus,south section,G-100,35-18,
903-2005*4,Quercus baronii,Baroni's Oak,,w,North America-China Plant Exploration Consortium (NACPEC) 2005 Gansu China,China (PRC),,"China (PRC), Gansu, Diebu",Quercus,south section,K-95,74-48,
704-46*16,Quercus muehlenbergii,Chinkapin Oak,,w,The Morton Arboretum-Staff,United States of America,"Nordine, RM","United States of America, Indiana, site not noted",Rosaceae,,C-67,07-67,
1277-2004*1,Quercus alba,White Oak,,g,"Bailey Nurseries, Inc.",,,,Childrens Garden,Kids Tree Walk,K-49,63-61,
248-86*5,Quercus macrocarpa,Bur Oak,,g,The Morton Arboretum Research Program,,,,Godshalk Meadow,east side,M-38,80-30,
139-U*21,Quercus palustris,Pin Oak,,u,,,,,Frost Hill,inner loop,E-63,83-83,
2385-26*10,Quercus alba,White Oak,,u,,United States of America,?,United States of America,South Forestry Plot,south side,L-83,09-20,
361-2002*1,Quercus ellipsoidalis,Hill's Oak,,g,"Possibility Place Nursery, Inc.",,,,Prairie Visitor Station,unlabeled section,Q-05,25-14,
541-2005*1,Quercus ellipsoidalis,Hill's Oak,,g,A. Brown & Sons Nursery,,,,Childrens Garden,Kids Tree Walk,K-49,73-38,
358-2002*2,Quercus bicolor,Swamp White Oak,,g,"Possibility Place Nursery, Inc.",,,,Prairie Visitor Station,,Q-05,49-74,
180-93*8,Quercus robur,English Oak,,w,"1993 Expedition to Russia (Gorno-Altai) Chicago BG, Holden Arb, Minn. Lands",Russia,"Linden, PJ van der","Russia, in the Main Botanical Garden of the Russian Academy of Sciences in Moscow",Quercus,north section,N-98,69-88,
138-U*44,Quercus macrocarpa,Bur Oak,,u,,,,,Schulenberg Prairie,upper prairie,I-04,11-56,
1512-35*2,Quercus imbricaria,Shingle Oak,,g,Missouri Botanical Garden,,,,Quercus,north section,M-103,88-32,
220-91*1,Quercus muehlenbergii,Chinkapin Oak,,w,Morton Arb. 1991 Iowa-Nebraska Seed Expedition,United States of America,,"United States of America, Nebraska, Richardson, 1.4-2 mi. south of Rulo in Nature Conservancy Rulo Bluffs Preserve",Ozark,west side,R-27,53-19,
134-U*58,Quercus alba,White Oak,,u,,,,,Daffodil Glade,,FF-16,84-53,
1164-22*10,Quercus palustris,Pin Oak,,g,D. Hill Nursery Co.,,,,North Forestry Plot,south side,S-82,45-62,
297-2002*1,Quercus macrocarpa,Bur Oak,,w,Poplar Farms Nursery & Produce Inc.,United States of America,?,"United States of America, Illinois, northern",Quercus,south section,G-100,88-85,
136-U*11,Quercus ellipsoidalis,Hill's Oak,,u,,,,,North Forestry Plot,north side,X-83,99-49,
352-61*5,Quercus imbricaria,Shingle Oak,,g,Edward H. Scanlon & Assoc.,,,,Tree Evaluation Plot,,B-95,96-15,
548-82*4,Quercus macrocarpa,Bur Oak,,w,The Morton Arboretum-Staff,United States of America,"Hedborn Jr, EA","United States of America, Illinois, Kendall, in Oswego Cemetery",Northern Illinois,,K-61,46-59,
134-U*22,Quercus alba,White Oak,,u,,,,,Appalachia,south section,Z-75,90-51,
316-85*6,Quercus macrocarpa,Bur Oak,,g,The Morton Arboretum Research Program,,,,Sargent's Glade,south section,X-19,38-54,
2387-26*32,Quercus rubra,Northern Red Oak,,g,Forest Nursery Co.,,,,South Forestry Plot,south side,K-83,95-27,
27-95*3,Quercus hartwissiana,Hartwiss' Oak,,w,Istanbul University Orman Fakultesi Silvikultur Ara Bilim Dah,Turkey,?,"Turkey, Black Sea, Zonguldak, on the northwest Black Sea area near Yenice Cit dere",Quercus,north section,L-100,31-31,
540-96*2,Quercus shumardii,Shumard's Oak,,w,The Morton Arboretum-Staff,United States of America,"Linden, PJ van der","United States of America, Missouri, Taney, at overlook along state highway 76 near Branson in Henning State Forest",Quercus,north section,J-100,67-93,
434-2013*3,Quercus macrocarpa,Bur Oak,,g,Possibility Place Nursery,,,,Upper Joy Path,east side,FF-26,67-65,
634-49*4,Quercus schochiana,Schoch's Oak,,g,,,,,Rosaceae,,B-65,99-61,
2175-29*23,Quercus bicolor,Swamp White Oak,,g,Naperville Nurseries,United States of America,?,United States of America,North Forestry Plot,south side,T-83,49-05,
189-2016*1,Quercus macrocarpa,Bur Oak,,g,"Goodmark Nurseries, LLC.",,,,Gateway to Tree Science,,F-100,01-11,
392-2011*3,Quercus aliena,Oriental White Oak,,w,North America-China Plant Exploration Consortium (NACPEC) 2011 China Expedi,China (PRC),,China (PRC),Quercus,south section,K-97,80-66,
52-98*1,Quercus rubra,Northern Red Oak,,g,"Stonegate Farm Nursery & Landscaping, Inc.",,,,Big Burl Woods,,Z-18,97-77,
51-2009*2,Quercus warei 'Nadler',Ware's Oak,KINDRED SPIRIT,g,"Robinson Nursery, Inc.",,,,Quercus,south section,J-98,48-73,
539-96*4,Quercus michauxii,Swamp Chestnut Oak,,w,The Morton Arboretum-Staff,United States of America,"Linden, PJ van der","United States of America, Missouri, Mississippi, in picnic ground at Big Oak Tree State Park",Appalachia,north section,DD-74,75-05,
392-2011*4,Quercus aliena,Oriental White Oak,,w,North America-China Plant Exploration Consortium (NACPEC) 2011 China Expedi,China (PRC),,China (PRC),China,south section,Y-70,51-35,
145-75*1,Quercus gambelii,Gambel's Oak,,w,The Morton Arboretum-Staff,United States of America,?,"United States of America, Colorado, Teller",Quercus,north section,L-97,68-99,
2387-26*16,Quercus rubra,Northern Red Oak,,g,Forest Nursery Co.,,,,South Forestry Plot,north side,M-83,54-82,
154-2018*1,Quercus rubra,Northern Red Oak,,,"Doty Nurseries, LLC",,,,Gateway to Tree Science,,G-102,08-33,
184-92*4,Quercus imbricaria,Shingle Oak,,w,The Morton Arboretum-Staff,United States of America,"Linden, PJ van der","United States of America, Illinois, Will, from a cemetery along Regan Road west of Mokena",Appalachia,north section,DD-73,71-73,
215-91*1,Quercus muehlenbergii,Chinkapin Oak,,w,Morton Arb. 1991 Iowa-Nebraska Seed Expedition,United States of America,,"United States of America, Iowa, Fremont, 8 mi. east of Nebraska City, south of IA 2, on top of east bluff overlooking Missouri River in Waubonsie State Park",Quercus,north section,L-103,48-67,
2387-26*12,Quercus rubra,Northern Red Oak,,g,Forest Nursery Co.,,,,South Forestry Plot,north side,M-82,84-80,
162-71*1,Quercus acutissima,Sawtooth Oak,,g,Aritaki Arboretum,,,,Fagaceae,north section,K-14,91-24,
71-98*1,Quercus bebbiana 'Taco',Taco Bebb's Oak,,g,"Bailey Nurseries, Inc.",,,,Quercus,south section,J-97,71-77,
134-U*55,Quercus alba,White Oak,,u,,,,,Sargent's Glade,south section,Z-20,72-94,
634-49*1,Quercus schochiana,Schoch's Oak,,g,,,,,Centennial Grove,,A-58,07-30,
2387-26*50,Quercus rubra,Northern Red Oak,,g,Forest Nursery Co.,,,,South Forestry Plot,south side,L-83,73-93,
141-38*4,Quercus palustris,Pin Oak,,g,H. Kohankie & Son,,,,Firefly Pond,,H-42,00-75,
2387-26*48,Quercus rubra,Northern Red Oak,,g,Forest Nursery Co.,,,,South Forestry Plot,south side,L-83,66-19,
200-99*1,Quercus pyrenaica,Pyrenean Oak,,g,"Späth-Arboretum der Humboldt-Universität zu Berlin Institut für Biologie, A",,,,Quercus,south section,H-100,44-92,
2175-29*2,Quercus bicolor,Swamp White Oak,,g,Naperville Nurseries,United States of America,?,United States of America,South Forestry Plot,north side,O-84,57-13,
552-2001*8,Quercus alba,White Oak,,g,"Possibility Place Nursery, Inc.",,,,Kings Grove,,EE-105,03-69,
134-U*34,Quercus alba,White Oak,,u,,,,,Thornhill Building,northwest section,LL-27,06-49,
138-U*15,Quercus macrocarpa,Bur Oak,,u,,,,,Forestry Plot Area,,N-73,25-46,
699-50*7,Quercus humidicola,Mounds Oak,,g,,,,,Centennial Grove,,AZ-59,98-25,
2175-29*11,Quercus bicolor,Swamp White Oak,,g,Naperville Nurseries,United States of America,?,United States of America,North Forestry Plot,south side,S-82,82-79,
134-U*56,Quercus alba,White Oak,,u,,,,,Parking 33,west side,K-29,75-32,
19-2003*1,Quercus variabilis,Oriental Oak,,w,Chicago Botanic Garden (Botanic Garden of the Chicago Horticultural Society,China (PRC),,"China (PRC), Shanxi, Yang Cheng, near Huang Sha Ling, Yang Cheng Xian",Quercus,south section,J-96,78-05,
137-U*2,Quercus imbricaria,Shingle Oak,,u,,,,,Forest Road,south side,I-74,95-88,
333-94*9,Quercus mongolica,Mongolian Oak,,w,North America-China Plant Exploration Consortium (NACPEC) 1994 Beijing Chin,China (PRC),,"China (PRC), Beijing Shi, Miyun, at Yong Xiu Gou (Valley with Beautiful Clouds), Wuling Shan Preserve",Childrens Garden,Evergreen Tree Walk,H-52,91-58,
463-84*5,Quercus bicolor,Swamp White Oak,,w,,United States of America,?,"United States of America, Illinois, Cook, along the Des Plaines River near Willow Springs",Midwest,,N-61,70-44,
51-98*2,Quercus bicolor,Swamp White Oak,,g,"Stonegate Farm Nursery & Landscaping, Inc.",,,,Sargent's Glade,south section,AA-20,73-39,
207-40*5,Quercus montana,Chestnut Oak,,g,H. Kohankie & Son,,,,Meadow Lake,east side,S-55,75-15,
1278-2004*3,Quercus bicolor,Swamp White Oak,,g,"Bailey Nurseries, Inc.",,,,Childrens Garden,Switchback,J-52,44-90,
214-91*6,Quercus bicolor,Swamp White Oak,,w,Morton Arb. 1991 Iowa-Nebraska Seed Expedition,United States of America,,"United States of America, Iowa, Warren, along the south side of the North River about 2 miles southwest of Norwalk and 0.5 miles west of IA-28",Sargent's Glade,south section,BB-20,40-71,
366-2007*3,Quercus shumardii,Shumard's Oak,,w,The Morton Arboretum Research Program,United States of America,"Hipp, AL","United States of America, Michigan, Monroe, Roberts Road, near intersection with Roelant Rd.; across street from landfill in state game area",Midwest,,L-62,54-68,
51-98*1,Quercus bicolor,Swamp White Oak,,g,"Stonegate Farm Nursery & Landscaping, Inc.",,,,Sargent's Glade,south section,AA-20,39-48,
573-40*8,Quercus palustris,Pin Oak,,w,University of Kentucky,United States of America,?,"United States of America, Kentucky, Fayette",Quercus,south section,M-91,69-41,
52-98*5,Quercus rubra,Northern Red Oak,,g,"Stonegate Farm Nursery & Landscaping, Inc.",,,,Big Burl Woods,,AA-19,56-66,
313-29*1,Quercus muehlenbergii,Chinkapin Oak,,g,,,,,Forestry Plot Area,,Q-73,25-05,
35-2007*4,Quercus macdanielii 'Clemons',Macdaniel's Oak,HERITAGE,g,"Bailey Nurseries, Inc.",,,,Visitor Center Parking,northwest median,T-48,24-69,
56-98*21,Quercus alba,White Oak,,g,"Schroeder's Nursery, Inc.",,,,Daffodil Glade,,JJ-18,39-96,
138-U*60,Quercus macrocarpa,Bur Oak,,u,,,,,Gateway to Tree Science,,F-104,56-73,
211-2011*1,Quercus alba,White Oak,,z,Possibility Place Nursery,United States of America,?,"United States of America, Ill., Ind., Mich., and/or Wisc",Schulenberg Savanna,south savannah,E-3,84-62,
587-83*1,Quercus muehlenbergii,Chinkapin Oak,,w,The Morton Arboretum-Staff,United States of America,"Hedborn Jr, EA","United States of America, Illinois, Kendall, near the Burlington Northern Railroad at Millington",Thornhill Parking,shelter,MM-29,24-35,
393-2006*2,Quercus bicolor,Swamp White Oak,,g,Mariani Landscape/Design Build Maintenance,,,,Meadow Lake,south side,M-49,07-24,
357-2002*4,Quercus alba,White Oak,,g,"Possibility Place Nursery, Inc.",,,,Prairie Visitor Station,,S-06,85-48,
333-94*5,Quercus mongolica,Mongolian Oak,,w,North America-China Plant Exploration Consortium (NACPEC) 1994 Beijing Chin,China (PRC),,"China (PRC), Beijing Shi, Miyun, at Yong Xiu Gou (Valley with Beautiful Clouds), Wuling Shan Preserve",Quercus,north section,K-105,05-50,
137-U*5,Quercus imbricaria,Shingle Oak,,u,,,,,Midwest,,N-66,05-60,
202-44*1,Quercus palustris,Pin Oak,,g,Kallay Brothers Company,,,,Hatch Meadow,,EE-38,50-09,
644-33*2,Quercus acutissima,Sawtooth Oak,,g,Arnold Arboretum of Harvard University,,,,Korea,,S-65,47-92,
644-33*3,Quercus acutissima,Sawtooth Oak,,g,Arnold Arboretum of Harvard University,,,,Centennial Grove,,AZ-58,94-40,
210-91*2,Quercus stellata,Post Oak,,w,Morton Arb. 1991 Iowa-Nebraska Seed Expedition,United States of America,,"United States of America, Iowa, Lee, in the Donnellson Unit of Shimek State Forest",Quercus,north section,N-98,15-28,
330-2018*2,Quercus macdanielii 'Clemons',Macdaniel's Oak,HERITAGE,g,Hinsdale Nurseries Inc.,,,,Education Support Building,,MM-31,39-72,
704-46*12,Quercus muehlenbergii,Chinkapin Oak,,w,The Morton Arboretum-Staff,United States of America,"Nordine, RM","United States of America, Indiana, site not noted",Rosaceae,,B-67,56-29,
212-91*1,Quercus stellata,Post Oak,,w,Morton Arb. 1991 Iowa-Nebraska Seed Expedition,United States of America,,"United States of America, Iowa, Lee, in the Donnellson Unit of Shimek State Forest",Quercus,north section,L-101,94-06,
362-96*2,Quercus marilandica,Blackjack Oak,,w,The Morton Arboretum,United States of America,"Sternberg, G","United States of America, Missouri, Phelps",Quercus,north section,J-102,70-27,
471-42*2,Quercus jackiana,Jack's Oak,,g,The Morton Arboretum,,,,Quercus,north section,L-101,81-52,
2387-26*46,Quercus rubra,Northern Red Oak,,g,Forest Nursery Co.,,,,South Forestry Plot,south side,L-83,57-52,
134-U*52,Quercus alba,White Oak,,u,,,,,Sargent's Glade,south section,X-19,05-53,
2387-26*60,Quercus rubra,Northern Red Oak,,g,Forest Nursery Co.,,,,South Forestry Plot,south side,M-83,05-59,
435-2004*1,Quercus coccinea,Scarlet Oak,,w,Harvard University Herbarium,United States of America,"Goldman, D","United States of America, New Jersey, Middlesex",Quercus,south section,M-94,30-66,
206-40*16,Quercus palustris,Pin Oak,,g,H. Kohankie & Son,,,,Meadow Lake,east side,S-55,90-05,
1643-35*1,Quercus fernowii,Fernow's Oak,,g,Missouri Botanical Garden,,,,Quercus,south section,E-105,25-20,
180-93*2,Quercus robur,English Oak,,w,"1993 Expedition to Russia (Gorno-Altai) Chicago BG, Holden Arb, Minn. Lands",Russia,"Linden, PJ van der","Russia, in the Main Botanical Garden of the Russian Academy of Sciences in Moscow",Central & Western Asia,,CC-70,60-40,
204-92*1,Quercus ellipsoidalis,Hill's Oak,,w,The Morton Arboretum-Staff,United States of America,"Linden, PJ van der","United States of America, Iowa, Winneshiek, in Bluffton Township",Quercus,north section,K-99,12-59,
704-46*7,Quercus muehlenbergii,Chinkapin Oak,,w,The Morton Arboretum-Staff,United States of America,"Nordine, RM","United States of America, Indiana, site not noted",Meadow Lake,north side,R-53,09-07,
616-30*3,Quercus deamii,Deam's Oak,,u,Arnold Arboretum of Harvard University,,,,Meadow Lake,east side,S-56,70-20,
704-46*8,Quercus muehlenbergii,Chinkapin Oak,,w,The Morton Arboretum-Staff,United States of America,"Nordine, RM","United States of America, Indiana, site not noted",Meadow Lake,north side,T-56,80-55,
38-83*1,Quercus macrocarpa,Bur Oak,,w,Minnesota Landscape Arboretum,United States of America,?,"United States of America, Minnesota, Carver",Sargent's Glade,south section,W-19,21-74,
852-2005*1,Quercus mongolica,Mongolian Oak,,w,North America-China Plant Exploration Consortium (NACPEC) 2005 Gansu China,China (PRC),,"China (PRC), Gansu, Kangle, at Xian Jia Wan",Quercus,south section,J-95,98-21,
1134-2004*3,Quercus marilandica,Blackjack Oak,,w,Midwest Plant Collecting Collaborative (MWPCC) 2004 Ozark Expedition,United States of America,,"United States of America, Missouri, Franklin, along I-44 roadside, old Rte 66",Ozark,west side,Q-25,89-61,
139-U*31,Quercus palustris,Pin Oak,,u,,,,,Bluebird Meadow,,II-17,37-28,
201-97*1,Quercus ellipsoidalis,Hill's Oak,,w,Morton Arb. 1997 Illinois Seed Collecting Expedition,United States of America,,"United States of America, Illinois, Jo Daviess, Amco Tract of Apple River Canyon State Park",Midwest,,M-68,41-97,
2387-26*56,Quercus rubra,Northern Red Oak,,g,Forest Nursery Co.,,,,South Forestry Plot,south side,L-84,11-09,
4-35*1,Quercus macrocarpa,Bur Oak,,g,Central Experimental Farm Botanical Garden and Arboretum Ottawa Research St,,,,Quercus,north section,K-100,44-43,
537-82*11,Quercus macrocarpa,Bur Oak,,w,The Morton Arboretum-Staff,United States of America,"Hedborn Jr, EA","United States of America, Illinois, Cook, near Sauk Lake in Sauk Trail Forest Preserve",Ozark,north side,P-25,54-97,
